Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
390,390,0,0707070707070707,ff
391,391,0,0707070707070707,ff
392,392,0,0707070707070707,ff
393,393,0,0707070707070707,ff
394,394,0,0707070707070707,ff
395,395,0,0707070707070707,ff
396,396,0,0707070707070707,ff
397,397,0,0707070707070707,ff
398,398,0,0707070707070707,ff
399,399,0,0707070707070707,ff
400,400,0,0707070707070707,ff
401,401,0,0707070707070707,ff
402,402,0,0707070707070707,ff
403,403,0,0707070707070707,ff
404,404,0,0707070707070707,ff
405,405,0,0707070707070707,ff
406,406,0,0707070707070707,ff
407,407,0,0707070707070707,ff
408,408,0,0707070707070707,ff
409,409,0,0707070707070707,ff
410,410,0,0707070707070707,ff
411,411,0,0707070707070707,ff
412,412,0,0707070707070707,ff
413,413,0,0707070707070707,ff
414,414,0,0707070707070707,ff
415,415,0,0707070707070707,ff
416,416,0,0707070707070707,ff
417,417,0,0707070707070707,ff
418,418,0,0707070707070707,ff
419,419,0,0707070707070707,ff
420,420,0,0707070707070707,ff
421,421,0,0707070707070707,ff
422,422,0,0707070707070707,ff
423,423,0,0707070707070707,ff
424,424,0,0707070707070707,ff
425,425,0,0707070707070707,ff
426,426,0,0707070707070707,ff
427,427,0,0707070707070707,ff
428,428,0,0707070707070707,ff
429,429,0,0707070707070707,ff
430,430,0,0707070707070707,ff
431,431,0,0707070707070707,ff
432,432,0,0707070707070707,ff
433,433,0,0707070707070707,ff
434,434,0,0707070707070707,ff
435,435,0,0707070707070707,ff
436,436,0,0707070707070707,ff
437,437,0,0707070707070707,ff
438,438,0,0707070707070707,ff
439,439,0,0707070707070707,ff
440,440,0,0707070707070707,ff
441,441,0,0707070707070707,ff
442,442,0,0707070707070707,ff
443,443,0,0707070707070707,ff
444,444,0,0707070707070707,ff
445,445,0,0707070707070707,ff
446,446,0,0707070707070707,ff
447,447,0,0707070707070707,ff
448,448,0,0707070707070707,ff
449,449,0,0707070707070707,ff
450,450,0,0707070707070707,ff
451,451,0,0707070707070707,ff
452,452,0,0707070707070707,ff
453,453,0,0707070707070707,ff
454,454,0,0707070707070707,ff
455,455,0,0707070707070707,ff
456,456,0,0707070707070707,ff
457,457,0,0707070707070707,ff
458,458,0,0707070707070707,ff
459,459,0,0707070707070707,ff
460,460,0,0707070707070707,ff
461,461,0,0707070707070707,ff
462,462,0,0707070707070707,ff
463,463,0,0707070707070707,ff
464,464,0,0707070707070707,ff
465,465,0,0707070707070707,ff
466,466,0,0707070707070707,ff
467,467,0,0707070707070707,ff
468,468,0,0707070707070707,ff
469,469,0,0707070707070707,ff
470,470,0,0707070707070707,ff
471,471,0,0707070707070707,ff
472,472,0,0707070707070707,ff
473,473,0,0707070707070707,ff
474,474,0,0707070707070707,ff
475,475,0,0707070707070707,ff
476,476,0,0707070707070707,ff
477,477,0,0707070707070707,ff
478,478,0,0707070707070707,ff
479,479,0,0707070707070707,ff
480,480,0,0707070707070707,ff
481,481,0,0707070707070707,ff
482,482,0,0707070707070707,ff
483,483,0,0707070707070707,ff
484,484,0,0707070707070707,ff
485,485,0,0707070707070707,ff
486,486,0,0707070707070707,ff
487,487,0,0707070707070707,ff
488,488,0,0707070707070707,ff
489,489,0,0707070707070707,ff
490,490,0,0707070707070707,ff
491,491,0,0707070707070707,ff
492,492,0,0707070707070707,ff
493,493,0,0707070707070707,ff
494,494,0,0707070707070707,ff
495,495,0,0707070707070707,ff
496,496,0,0707070707070707,ff
497,497,0,0707070707070707,ff
